antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'Family'}),frozenset({'Comedy'}),0.03655734280342594,0.4019218717359515,0.025276791309797368,0.6914285714285715,1.7203059103059106,0.010583595664551596,1.9382161564112688,0.4345957007590691
frozenset({'Crime and Mystery'}),frozenset({'Drama'}),0.019427616461249218,0.512220597451431,0.011071652391894714,0.5698924731182795,1.1125918714588923,0.001120427081056384,1.1340871109254227,0.10320280406138688
frozenset({'Family'}),frozenset({'Drama'}),0.03655734280342594,0.512220597451431,0.01963651556298308,0.5371428571428573,1.0486553250990447,0.0009110915909754727,1.0538443882222173,0.04815836578029568
"frozenset({'Drama', 'Action and Adventure'})",frozenset({'Comedy'}),0.059327344892416964,0.4019218717359515,0.03300605807395028,0.556338028169014,1.384194459898685,0.009161100569665712,1.3480491144999185,0.29506348791382403
"frozenset({'Action and Adventure', 'Comedy'})",frozenset({'Drama'}),0.05702945477334447,0.512220597451431,0.03300605807395028,0.5787545787545788,1.1298932171689104,0.0037943966776184113,1.1579458860500813,0.12191326001245062
"frozenset({'Action and Adventure', 'Romance'})",frozenset({'Comedy'}),0.04282431585544182,0.4019218717359515,0.023396699394192606,0.5463414634146342,1.3593225495664523,0.006184670209761843,1.3183442612272038,0.2761660535012783
"frozenset({'Action and Adventure', 'Romance'})",frozenset({'Drama'}),0.04282431585544182,0.512220597451431,0.026530185920200542,0.6195121951219512,1.2094636533641028,0.004594689267277342,1.2819843272109825,0.1809356709066974
"frozenset({'Drama', 'Family'})",frozenset({'Comedy'}),0.01963651556298308,0.4019218717359515,0.014205138917902652,0.7234042553191489,1.7998628743309595,0.006312793828456351,2.162282463723867,0.45330341810706803
"frozenset({'Family', 'Comedy'})",frozenset({'Drama'}),0.025276791309797368,0.512220597451431,0.014205138917902652,0.5619834710743802,1.0971512544996156,0.001257845771543106,1.1136095794033367,0.09084491061748308
"frozenset({'Fantasy', 'Comedy'})",frozenset({'Drama'}),0.020263212868184666,0.512220597451431,0.011071652391894714,0.5463917525773195,1.0667117942853297,0.0006924173902676401,1.075331864709345,0.06383312547773257
"frozenset({'Comedy', 'Romance'})",frozenset({'Drama'}),0.11092542302068101,0.512220597451431,0.06705661165656987,0.6045197740112994,1.1801941917586012,0.010238325204363928,1.233385060729953,0.17173116787295328
"frozenset({'Family', 'Romance'})",frozenset({'Comedy'}),0.014414038019636515,0.4019218717359515,0.01065385418842699,0.7391304347826088,1.8389903281207631,0.0048605370483015145,2.2926328250121863,0.46289554397426635
"frozenset({'Horror', 'Romance'})",frozenset({'Comedy'}),0.030917067056611656,0.4019218717359515,0.016085230833507415,0.5202702702702703,1.2944562285778503,0.003658985373528134,1.2466980701842139,0.2347320711192236
"frozenset({'Fantasy', 'Romance'})",frozenset({'Drama'}),0.016294129935241278,0.512220597451431,0.010862753290160853,0.6666666666666667,1.3015225666122894,0.002516564319780319,1.4633382076457073,0.2355064769590147
"frozenset({'Horror', 'Romance'})",frozenset({'Drama'}),0.030917067056611656,0.512220597451431,0.019845414664716943,0.641891891891892,1.25315517393413,0.004009056105533367,1.3621009731544949,0.20845917336994144
"frozenset({'Drama', 'Thriller'})",frozenset({'Romance'}),0.02047211196991853,0.3049926885314393,0.011071652391894714,0.5408163265306122,1.7732107911657813,0.004827807922272602,1.5135714783093097,0.44516471710184813
"frozenset({'Thriller', 'Romance'})",frozenset({'Drama'}),0.020054313766450803,0.512220597451431,0.011071652391894714,0.5520833333333334,1.077823375475802,0.0007994198129648265,1.0889958754572704,0.07368183957236453
"frozenset({'Drama', 'Action and Adventure', 'Comedy'})",frozenset({'Romance'}),0.03300605807395028,0.3049926885314393,0.01712972634217673,0.5189873417721519,1.701638633604994,0.007063119952377813,1.444883621210955,0.42640511304659384
"frozenset({'Drama', 'Action and Adventure', 'Romance'})",frozenset({'Comedy'}),0.026530185920200542,0.4019218717359515,0.01712972634217673,0.6456692913385828,1.6064547285019728,0.00646666435962694,1.6879093842118706,0.38779964409086154
"frozenset({'Action and Adventure', 'Comedy', 'Romance'})",frozenset({'Drama'}),0.023396699394192606,0.512220597451431,0.01712972634217673,0.7321428571428572,1.4293506758331391,0.005145455000091859,1.8210431028479914,0.3075779313942872
"frozenset({'Drama', 'Horror', 'Comedy'})",frozenset({'Romance'}),0.01963651556298308,0.3049926885314393,0.01148945059536244,0.5851063829787234,1.9184275721364035,0.005500456920418781,1.6751458276421718,0.4883288456695659
"frozenset({'Drama', 'Horror', 'Romance'})",frozenset({'Comedy'}),0.019845414664716943,0.4019218717359515,0.01148945059536244,0.5789473684210525,1.4404475325527957,0.0035131443879433052,1.4204355546271148,0.31196233434085097
"frozenset({'Horror', 'Comedy', 'Romance'})",frozenset({'Drama'}),0.016085230833507415,0.512220597451431,0.01148945059536244,0.7142857142857143,1.3944884642274527,0.0032502640476790925,1.7072279089199915,0.287515923566879
